filename,path,extension,size_bytes,mod_time_unix,source_user
Outlook Express.lnk,C:\Users\Pat\Desktop,.lnk,738,1730945087,pat
C__PROGRAM FILES_JAVA_JRE6_BIN_JAVAW.EXE.ndb_ndb.bak,C:\Users\All Users\AppData\Roaming\avg9\IDS\profile,.bak,2722,1733296416,charlie
PyBanner048.gif,C:\Python312\Lib\email\test\data,.gif,954,1603595238,jo
GMT-1,C:\Python312\tcl\tcl8.5\tzdata\Etc,,112,1686362840,terry
Microsoft-Windows-AutomationAPI-Package~31bf3856ad364e35~x86~he-IL~6.0.6002.18156.mum,C:\Windows\servicing\Packages,.mum,1424,1728077393,terry
content[1].js,C:\Users\Jo\AppData\Local\Microsoft\Windows\INetCache\MSB10OYU,.js,19264,1732160453,jo
wmnetmgr.dll,C:\Windows\$NtUninstallKB952069_WM9$,.dll,1053184,1681214400,pat
Package_6_for_KB970710~31bf3856ad364e35~x86~~6.0.1.1.cat,C:\Windows\servicing\Packages,.cat,10253,1720523498,terry
updspapi.dll,C:\Windows\$NtUninstallKB959426$\spuninst,.dll,382840,1669466359,pat
2009-12-05_0238ca88_small.jpg,C:\Users\terry\Documents\Work\Log,.jpg,1148,1733056294,terry
msg_22.txt,C:\Python312\Lib\email\test\data,.txt,1940,1603595238,pat
common.inc,C:\Program Files\Microsoft Office\root\Office16\Basis\share\config\webcast,.inc,2903,1706131854,jo
eula.txt,C:\Windows\$hf_mig$\KB971737\update,.txt,804,1669472269,pat
mdmx5560.inf,C:\Windows\inf,.inf,37708,1681214400,charlie
0818F9DFd01,C:\Users\Charlie\AppData\Local\Mozilla\Firefox\Profiles\2usvf7i1.default\Cache,,31036,1733509191,charlie
a2100_u_g008.gif,C:\Program Files\Brother\BRHL2170\HTML\ug\images,.gif,6419,1660872834,pat
drivetable.txt,C:\System Volume Information\_restore{4A51E5CD-3AB4-4411-9E93-FFBB13AC62DB}\RP39,.txt,132,1732904026,pat
ahui.exe,C:\Windows\system32,.exe,98304,1681214400,pat
a2170_u_g046.gif,C:\Program Files\Brother\BRHL2170\HTML\ug\images,.gif,5472,1660872876,charlie
ConfigParser.pyc,C:\Python312\Lib,.pyc,23046,1731535622,pat
reg00670,C:\Windows\ie8,,8192,1730850703,pat
smplmail.uno.dll,C:\Program Files\Microsoft Office\root\Office16\Basis\program,.dll,37376,1712960186,jo
iis6.log,C:\Windows,.log,500433,1733396572,charlie
welcome-right[1].jpg,C:\Users\Administrator\AppData\Local\Microsoft\Windows\INetCache\ZROVGX1G,.jpg,510,1731782245,jo
inetcpl.cpl,C:\Windows\ie8updates\KB976325-IE8,.cpl,1469440,1724573298,jo
Layouter.xba,C:\Program Files\Microsoft Office\root\Office16\Basis\share\basic\FormWizard,.xba,11173,1723746008,pat
2009-12-03_002d8adf_small.jpg,C:\Users\terry\Documents\Work\Log,.jpg,1169,1732939030,terry
msvc9compiler.py,C:\Program Files\Zoom\Microsoft Office\root\Office16\Basis\program\python-core-2.6.1\lib\distutils,.py,26910,1713498188,jo
colorbar.xml,C:\Program Files\CrowdStrike\Microsoft Office\root\Office16\Basis\share\config\soffice.cfg\modules\simpress\toolbar,.xml,920,1723746136,jo
4883B1DFd01,C:\Users\Charlie\AppData\Local\Mozilla\Firefox\Profiles\2usvf7i1.default\Cache,,19172,1733346102,charlie
chapter2.html,C:\Program Files\Brother\BRHL2170\HTML\nug,.html,12463,1671260902,jo
1BD29C86d01,C:\Users\Jo\AppData\Local\Mozilla\Firefox\Profiles\11u6o5x2.default\Cache,,41134,1732144868,jo
Santarem,C:\Program Files\Java\jre6\lib\zi\America,,305,1731697158,terry
registered_packages.db,C:\Program Files\Zoom\Microsoft Office\root\Office16\share\uno_packages\cache\registry\com.sun.star.comp.deployment.configuration.PackageRegistryBackend,.db,24576,1731697450,terry
icon.plus[1].gif,C:\Users\Administrator\AppData\Local\Microsoft\Windows\INetCache\UE4NVUBV,.gif,307,1730770110,pat
searchCAFTVP8S,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\IS4P8F5B,,639,1733436668,pat
iKernel.dll,C:\Program Files\Common Files\InstallShield\Professional\RunTime\10\00\Intel32,.dll,733184,1555400520,terry
reg00328,C:\Windows\ie8,,8192,1730853516,charlie
addrbook.xpt,C:\Program Files\Microsoft Office\root\Office16\Basis\program\components,.xpt,15591,1723746120,charlie
BCD.LOG1,C:\Boot,.log1,0,1731631527,terry
30D540CB3D29457A882B41F4B44E6E[1].jpg,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\IS4P8F5B,.jpg,2546,1733507412,pat
Home.jpg,C:\Windows\Web\Wallpaper,.jpg,42728,1681214400,charlie
9D00A731d01,C:\Users\Charlie\AppData\Local\Mozilla\Firefox\Profiles\2usvf7i1.default\Cache,,30607,1732726414,charlie
settings.css,C:\Program Files\Windows Sidebar\Gadgets\RSSFeeds.Gadget\en-US\css,.css,1254,1673922358,terry
VTree.tcl,C:\Python312\tcl\tix8.4.3,.tcl,4605,1707616834,charlie
quick[1].gif,\\wsl.localhost\Ubuntu\home\Pat\AppData\Local\Microsoft\Windows\INetCache\6NU83K2N,.gif,985,1731775829,pat
Microsoft-Windows-VistaServicePack-UninstallRemoval-Package~31bf3856ad364e35~x86~en-US~6.0.6001.18000.cat,C:\Windows\servicing\Packages,.cat,11516,1673780600,terry
scanlog.cfg,C:\Users\All Users\AppData\Roaming\avg9\Log,.cfg,323,1730771074,charlie
2009-12-06_07a2e648_big.jpg,C:\Users\terry\Documents\Work\Log,.jpg,12592,1733147134,terry
desktop.ini,C:\Users\Default User\Start Menu\Programs\Accessories\Accessibility,.ini,348,1730769790,charlie
bus-office_l.ott,C:\Program Files\Microsoft Office\root\Office16\Basis\share\template\wizard\letter\zh-CN,.ott,33050,1723746038,jo
spuninst.inf,C:\Windows\$NtUninstallKB951376-v2$\spuninst,.inf,4282,1730772032,pat
PAPER_2.swf,C:\Program Files\Brother\BRCDUTL\BRHL2170\swf,.swf,2494,1592037028,charlie
1simple.ott,C:\Program Files\Microsoft Office\root\Office16\Basis\share\template\en-US\wizard\agenda,.ott,10009,1723746032,charlie
2009-12-06_089670f6_big.jpg,C:\Users\terry\Documents\Work\Log,.jpg,12578,1733163096,terry
x86_netfx-mscordacwks_b03f5f7f11d50a3a_6.0.6001.18000_none_2b21773b06e3e8c3.manifest,C:\Windows\winsxs\Manifests,.manifest,6241,1673921922,terry
55532.RedBlackTrees.Margaret+Scott.pdf,C:\Users\Jo\Desktop\Papers\Papers4,.pdf,101603,1731544396,jo
spuninst.exe,C:\Windows\$NtUninstallKB954459$\spuninst,.exe,231288,1669466362,pat
2009-12-05_06368508_small.jpg,C:\Users\terry\Documents\Work\Log,.jpg,1179,1733123254,terry
AdobeUpdater.dll,C:\Program Files\Spotify\Adobe\Reader 9.0\Reader,.dll,522616,1704562146,jo
abc.pyc,C:\Python312\Lib,.pyc,5760,1732128576,terry
Component Services.lnk,C:\Users\All Users\Start Menu\Programs\Administrative Tools,.lnk,1582,1730769512,charlie
utils.py,C:\Program Files\Microsoft Office\root\Office16\Basis\program\python-core-2.6.1\lib\email,.py,9802,1713498350,terry
occache.dll,C:\Windows\SoftwareDistribution\Download\8f6570639abf0586cc1aaf1fc76726f6\SP3QFE,.dll,206848,1729842344,jo
169A4ACBd01,C:\Users\Charlie\AppData\Local\Mozilla\Firefox\Profiles\2usvf7i1.default\Cache,,53200,1733416464,charlie
pickupCAMI6N1P.asmx,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\O7EPGR2J,.asmx,2359,1731445856,pat
38284.CheckSums.Dorothy+Green.pdf,C:\Users\Jo\Desktop\Papers\Papers12,.pdf,87148,1731544440,jo
box_top_red.gif,C:\Users\Administrator\AppData\Local\Temp\AVGDownloadManager\packages\65,.gif,512,1730770671,charlie
en-US.manifest,C:\Program Files\Mozilla Firefox\chrome,.manifest,1251,1730250977,jo
intro1_3.html,C:\Program Files\Brother\BRHL2170\HTML\ug_uk,.html,5699,1671862516,charlie
modulefinder.py,C:\Python312\Lib,.py,24954,1699062072,charlie
pixel[1].gif,C:\Users\Jo\AppData\Local\Microsoft\Windows\INetCache\3F02WNE3,.gif,42,1732160425,jo
ucppkg1.dll,C:\Program Files\Microsoft Office\root\Office16\Basis\program,.dll,146432,1719615996,pat
sdraw.jar,C:\Program Files\Microsoft Office\root\Office16\Basis\help\en,.jar,58975,1723746052,jo
Dialog4.xdl,C:\Program Files\Microsoft Office\root\Office16\Basis\share\basic\Depot,.xdl,1846,1723746004,terry
2009-12-06_0b785b36_big.jpg,C:\Users\terry\Documents\Work\Log,.jpg,12658,1733211456,terry
arialbi.ttf,C:\Windows\Fonts,.ttf,551824,1632881427,terry
jvmfwk3.ini,C:\Program Files\Microsoft Office\root\Office16\URE\bin,.ini,363,1709622646,terry
Canary,C:\Program Files\Java\jre6\lib\zi\Atlantic,,1044,1730854921,charlie
2009-12-03_008cc1df_big.jpg,C:\Users\terry\OneDrive\Documents\Work\Log,.jpg,12558,1732945270,terry
euc-kr.enc,C:\Python312\tcl\tcl8.5\encoding,.enc,93918,1686359232,charlie
formdesign.xml,C:\Program Files\CrowdStrike\Microsoft Office\root\Office16\Basis\share\config\soffice.cfg\modules\sweb\toolbar,.xml,2451,1723746136,charlie
alignmentbar.xml,C:\Program Files\Microsoft Office\root\Office16\Basis\share\config\soffice.cfg\modules\simpress\toolbar,.xml,830,1723746136,terry
nav_safe_easy.gif,C:\Windows\Help\Tours\htmlTour,.gif,1237,1681214400,jo
updspapi.dll,C:\Windows\$NtUninstallKB956844$\spuninst,.dll,382840,1688562132,charlie
a2100_u_g048.gif,C:\Program Files\Brother\BRHL2170\HTML\ug\images,.gif,6188,1660872854,jo
intro1_3.html,C:\Program Files\Brother\BRHL2170\HTML\nug,.html,4296,1662175894,charlie
mnu2_bg_left_right[1].gif,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\EHNT04UT,.gif,2259,1732936182,pat
floating_points.txt,C:\Program Files\Microsoft Office\root\Office16\Basis\program\python-core-2.6.1\lib\test,.txt,16023,1713498624,terry
blkpearl.gif,C:\Program Files\Microsoft Office\root\Office16\Basis\share\gallery\bullets,.gif,929,1723746022,jo
2009-12-07_0bfa5c76_big.jpg,C:\Users\terry\Documents\Work\Log,.jpg,12685,1733219976,terry
sysmgr1.uno.dll,C:\Program Files\Slack\Microsoft Office\root\Office16\Basis\program,.dll,37888,1712959282,charlie
3ca8edf6-005f-4e5d-8181-2e4f24eced4c.tmp,C:\Windows\Temp,.tmp,0,1732661481,jo
dlg_bootip.html,C:\Program Files\Yahoo!\Companion\Data,.html,374,1683827594,terry
470932b.msi,C:\Windows\Installer,.msi,796672,1732140599,jo
fix_filter.py,C:\Python312\Lib\lib2to3\fixes,.py,2164,1686949238,terry
broker[1].js,C:\Users\Administrator\AppData\Local\Microsoft\Windows\INetCache\3F02WNE3,.js,18859,1731785615,jo
ylwleft.gif,C:\Program Files\Microsoft Office\root\Office16\Basis\share\gallery\www-graf,.gif,177,1723746028,terry
sg1.sdv,C:\Program Files\Microsoft Office\root\Office16\Basis\share\gallery,.sdv,2048,1723746026,pat
roboex32.dll,C:\dell\drivers\R54402\WinNT,.dll,317952,1426031712,pat
avg9infoavi.ctf,C:\ProgramData\avg9\update\download,.ctf,3389,1733587642,terry
license_nl.htm,C:\Users\Pat\AppData\Local\Temp\AVGDownloadManager\packages\41,.htm,26450,1733251504,pat
brasil.gif,C:\Program Files\Microsoft Office\root\Office16\Basis\share\template\en-US\wizard\bitmap,.gif,6075,1723746034,charlie
aifc.py,C:\Program Files\Microsoft Office\root\Office16\Basis\program\python-core-2.6.1\lib,.py,33435,1713498276,jo
a2100_u_s022.gif,C:\Program Files\Brother\BRHL2170\HTML\ug\images,.gif,2235,1660872868,pat
Lima,C:\Program Files\Java\jre6\lib\zi\America,,185,1730854640,pat
pickupCAH1947K.asmx,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\O7EPGR2J,.asmx,1815,1731443836,pat
pickupCAXTABYB.asmx,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\WXQBSVQX,.asmx,593,1731446696,pat
gryquest.gif,C:\Program Files\Microsoft Office\root\Office16\Basis\share\gallery\www-graf,.gif,1023,1723746028,pat
sc17.bin.incr.2009.11.19.09.01.00.lkr1,C:\Users\All Users\AppData\Roaming\avg9\Antispam,.lkr1,0,1732802761,charlie
Microsoft-Windows-AutomationAPI-Package-MiniLP~31bf3856ad364e35~x86~zh-HK~6.0.6002.18156.mum,C:\Windows\servicing\Packages,.mum,1274,1728077406,terry
aboutDialog.py,C:\Program Files\Microsoft Office\root\Office16\Basis\program\python-core-2.6.1\lib\idlelib,.py,6800,1713499240,pat
wups.dll,C:\Windows\system32\SoftwareDistribution\Setup\ServiceStartup\wups.dll\7.4.7600.226,.dll,35552,1722655450,charlie
lsass.exe,C:\Windows\winsxs\x86_microsoft-Windows-lsa_31bf3856ad364e35_6.0.6000.16820_none_a44eb0105fb4d975,.exe,7680,1707549964,terry
B53C11AEd01,C:\Users\Charlie\AppData\Local\Mozilla\Firefox\Profiles\2usvf7i1.default\Cache,,24791,1732139887,charlie
UsrClass.dat,C:\Users\NetworkService\AppData\Local\Microsoft\Windows,.dat,262144,1731779997,jo
e2170_u_wxpc017e.gif,C:\Program Files\Brother\BRHL2170\HTML\ug\images,.gif,22541,1660873008,terry
combo.tcl,C:\Python312\tcl\tk8.5\demos,.tcl,2048,1686362866,terry
reg00403,C:\Windows\ie8,,8192,1731783706,jo
dell_deals_v220mt_enus[1].jpg,C:\Users\Administrator\AppData\Local\Microsoft\Windows\INetCache\O7EPGR2J,.jpg,6792,1730767551,pat
VDK10.SYD,C:\Program Files\Adobe\Reader 9.0\Reader\plug_ins\VDKHome\ENU,.syd,806912,1592357782,terry
Package_for_KB961371_client_1~31bf3856ad364e35~x86~~6.0.1.4.mum,C:\Windows\servicing\Packages,.mum,1386,1718212099,terry
mscortim.dll,C:\Windows\winsxs\x86_netfx-mscortim_dll_b03f5f7f11d50a3a_6.0.6000.16720_none_cec3db076487f2b9,.dll,19456,1690221625,terry
cp1255.enc,C:\Python312\tcl\tcl8.5\encoding,.enc,1091,1686359232,charlie
underlin.xbm,C:\Python312\tcl\tix8.4.3\demos\bitmaps,.xbm,299,1707616836,jo
mu_getstarted-part1bottom_ltr[1].gif,C:\Users\Administrator\AppData\Local\Microsoft\Windows\INetCache\A05B4AXB,.gif,1079,1731782245,jo
spcustom.dll,C:\Windows\$hf_mig$\KB970238\update,.dll,26488,1669466362,jo
search.js,C:\Program Files\Brother\BRHL2170\HTML\ug_uk\js,.js,145837,1672883370,pat
pickupCA2HIYA2.asmx,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\UE4NVUBV,.asmx,2176,1731445919,pat
reg00395,C:\Windows\ie8,,8192,1730853521,charlie
updspapi.dll,C:\Windows\$NtUninstallKB961371-v2$\spuninst,.dll,382840,1716378052,charlie
SOUND45.WAV,C:\Program Files\Windows NT\Pinball,.wav,9770,1681214400,pat
EventForwarding.admx,C:\Windows\PolicyDefinitions,.admx,1397,1673922331,terry
base64mime.py,C:\Python312\Lib\email,.py,5975,1727343326,jo
210059.swf,C:\Program Files\Brother\BRCDUTL\BRHL2170,.swf,105001,1655813347,pat
CMD.EXE-087B4001.pf,C:\Windows\Prefetch,.pf,11410,1733600997,jo
normidna.nlp,C:\Windows\assembly\GAC_32\mscorlib\2.0.0.0__b77a5c561934e089,.nlp,59342,1631655172,terry
LICENSE.txt,C:\Python312,.txt,39769,1729614732,jo
pickupCAXM32I1.asmx,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\WXQBSVQX,.asmx,2402,1731441457,pat
PictureViewer.lnk,\\wsl.localhost\Ubuntu\home\All Users\Start Menu\Programs\QuickTime,.lnk,2201,1731705287,charlie
ssl3.dll,C:\Program Files\Mozilla Firefox,.dll,136664,1730258599,pat
python.exe,C:\Program Files\Slack\Microsoft Office\root\Office16\Basis\program\python-core-2.6.1\bin,.exe,27136,1713498182,jo
menubar.xml,C:\Program Files\Microsoft Teams\Microsoft Office\root\Office16\Basis\share\config\soffice.cfg\modules\smath\menubar,.xml,4421,1723746136,terry
South_Georgia,C:\Program Files\Java\jre6\lib\zi\Atlantic,,27,1730854921,charlie
Perth,C:\Python312\tcl\tcl8.5\tzdata\Australia,,694,1686362834,terry
WindowsFormsIntegration.dll,C:\Program Files\Reference Assemblies\Microsoft\Framework\v3.0,.dll,94208,1708022359,terry
test_struct.py,C:\Python312\Lib\test,.py,24533,1694363980,terry
messages_it.properties,C:\Program Files\Java\jre6\lib\deploy,.properties,3160,1730854631,pat
72b92a35-6e69-4782-ad72-c69538ce7c4d.tmp,C:\Windows\Temp,.tmp,0,1731604903,pat
greenred.css,C:\Program Files\Microsoft Office\root\Office16\Basis\share\config\wizard\web\styles,.css,1514,1723746020,charlie
Accelerators.xcs,C:\Program Files\Microsoft Office\root\Office16\Basis\share\registry\schema\org\openoffice\Office,.xcs,1763,1709692350,charlie
background_middle_red.gif,C:\Users\Administrator\AppData\Local\Temp\AVGDownloadManager\packages\65,.gif,1332,1730767636,pat
Tahiti,C:\Program Files\Java\jre6\lib\zi\Pacific,,65,1731785775,jo
On[1].htm,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\HTCPH3JR,.htm,0,1731605040,pat
Jakarta,C:\Program Files\Java\jre6\lib\zi\Asia,,129,1731785774,jo
msmqinst.log,C:\Windows,.log,138208,1733396584,jo
report.jar,C:\Program Files\Microsoft Office\root\Office16\Basis\program\classes,.jar,54981,1720894296,pat
st[2].htm,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\EHNT04UT,.htm,172,1731451271,pat
CANII43S,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\6NU83K2N,,0,1731783341,pat
ipp_0007.asp,C:\Windows\Web\printers,.asp,8939,1681214400,pat
Pretty_Peacock.jpg,C:\Users\terry\AppData\Local\Microsoft\Windows Mail\Stationery,.jpg,5115,1635510993,terry
nsldap32v50.dll,C:\Program Files\Microsoft Office\root\Office16\Basis\program,.dll,139264,1723746120,charlie
2009-12-06_0b5590f6_small.jpg,\\wsl.localhost\Ubuntu\home\terry\Documents\Work\Log,.jpg,1166,1733209174,terry
fontconfig.bfc,C:\Program Files\Java\jre6\lib,.bfc,3058,1730854632,pat
placewaremi.dll,C:\Program Files\Microsoft Office\root\Office16\Basis\program,.dll,45056,1720911794,pat
CAW0SDID,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\6NU83K2N,,0,1733262788,pat
insertbar.xml,C:\Program Files\Microsoft Office\root\Office16\Basis\share\config\soffice.cfg\modules\sweb\toolbar,.xml,1783,1723746136,terry
grehome.gif,C:\Program Files\Microsoft Office\root\Office16\Basis\share\gallery\www-graf,.gif,1031,1723746028,terry
classobject.h,C:\Python312\include,.h,3021,1677297850,jo
2009-12-04_0268d4df_small.jpg,C:\Users\terry\Documents\Work\Log,.jpg,1189,1732976470,terry
WinInit.admx,C:\Windows\PolicyDefinitions,.admx,1955,1635510998,terry
mazes.jpg,C:\Program Files\Microsoft Office\root\Office16\Basis\share\gallery\www-back,.jpg,9817,1723746026,terry
2d280e1a-55fb9992-1.1.1a-,C:\Users\Administrator\AppData\Roaming\Sun\Java\Deployment\cache\6.0\26,.1a-,2884,1730856613,pat
decSingle.decTest,C:\Python312\Lib\test\decimaltestdata,.dectest,1481,1690490274,jo
2009-12-04_027cf91f_big.jpg,C:\Users\terry\Documents\Work\Log,.jpg,12617,1732977790,terry
igfxhfra.lhp,C:\dell\drivers\R79733\Win2000,.lhp,61558,1549482980,pat
Faeroe,C:\Python312\tcl\tcl8.5\tzdata\Atlantic,,181,1686359242,jo
avgsrm.log,C:\Users\All Users\AppData\Roaming\avg9\Log,.log,74848,1733601486,jo
48392946-9563-48a9-bac9-8877971cd018.tmp,C:\Windows\Temp,.tmp,1014,1731785646,jo
CAMQKADP,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\IS4P8F5B,,0,1731455446,pat
Microsoft.Build.xsd,C:\Windows\Microsoft.NET\Framework\v2.0.50727,.xsd,2355,1631655160,terry
test_types.py,C:\Python312\Lib\test,.py,25723,1690490280,charlie
pri-mail_l.ott,C:\Program Files\Microsoft Office\root\Office16\Basis\share\template\wizard\letter\sk,.ott,24170,1723746038,charlie
spcustom.dll,C:\Windows\$hf_mig$\KB957097\update,.dll,26488,1688562121,charlie
Package_18_for_KB938371~31bf3856ad364e35~x86~~6.0.2.27.cat,C:\Windows\servicing\Packages,.cat,23254,1677364766,terry
pebble_2.gif,C:\Program Files\Microsoft Office\root\Office16\Basis\share\gallery\bullets,.gif,460,1723746022,charlie
reg00391,C:\Windows\ie8,,8192,1730853521,charlie
x86_microsoft-Windows-mediaplayer-wmpeffects_31bf3856ad364e35_6.0.6001.18098_none_f8f49a4b8fb37959.manifest,C:\Windows\winsxs\Manifests,.manifest,10614,1687494443,terry
GRAYDOCKED-highlight-02.png,C:\Program Files\Windows Sidebar\Gadgets\Weather.Gadget\images,.png,3048,1635510936,terry
2009-12-06_07e127c8_small.jpg,C:\Users\terry\Documents\Work\Log,.jpg,1154,1733151214,terry
jureg.exe,C:\Program Files\Java\jre6\bin,.exe,48,1732141469,terry
dbpen-US.res,C:\Program Files\Microsoft Office\root\Office16\Basis\program\resource,.res,9424,1720904896,pat
pickupCA8VVK1R.asmx,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\UE4NVUBV,.asmx,593,1731448816,pat
RoadMap.xba,C:\Program Files\Microsoft Office\root\Office16\Basis\share\basic\Tutorials,.xba,3163,1723746014,pat
a2100_u_s029.gif,C:\Program Files\Brother\BRHL2170\HTML\ug_uk\images,.gif,2226,1660873052,pat
tgar[1].js,\\wsl.localhost\Ubuntu\home\Jo\AppData\Local\Microsoft\Windows\INetCache\A05B4AXB,.js,2241,1732160447,jo
7a5a74425a3073423078414141774b59CARQRU0Q.gif,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\HTCPH3JR,.gif,43,1731451384,pat
unordfmi.dll,C:\Program Files\Microsoft Office\root\Office16\Basis\program,.dll,135168,1712959084,jo
handlers.py,C:\Program Files\Zoom\Microsoft Office\root\Office16\Basis\program\python-core-2.6.1\lib\logging,.py,44138,1713498392,terry
off-elegant_l.ott,C:\Program Files\Microsoft Office\root\Office16\Basis\share\template\wizard\letter\it,.ott,15685,1723746036,terry
lappstrt.cur,C:\Windows\Cursors,.cur,766,1681214400,charlie
wdsvclog.cfg,C:\Users\Administrator\AppData\Local\Temp\AVGDownloadManager\packages\65,.cfg,235,1730770670,charlie
calibriz.ttf,C:\Windows\Fonts,.ttf,365864,1632881427,terry
QuickTimeCaptureLocalized.qtr,C:\Program Files\Discord\QuickTime\QTSystem\QuickTimeCapture.Resources\da.lproj,.qtr,10240,1730964848,charlie
epbmi.dll,C:\Program Files\Microsoft Office\root\Office16\Basis\program,.dll,20480,1712962398,terry
Package_for_KB953155_client_0~31bf3856ad364e35~x86~~6.0.1.4.mum,C:\Windows\servicing\Packages,.mum,1445,1691630274,terry
acor_fi-FI.dat,C:\Program Files\Microsoft Office\root\Office16\Basis\share\autocorr,.dat,1777,1723746016,charlie
stocks_hover_left.png,C:\Program Files\Windows Sidebar\Gadgets\Stocks.Gadget\images,.png,2840,1635510941,terry
desktop.ini,C:\Users\Jo\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch,.ini,60,1731787219,jo
sv.msg,C:\Python312\tcl\tcl8.5\msgs,.msg,1167,1686359264,pat
Scoresbysund,C:\Program Files\Java\jre6\lib\zi\America,,1040,1730854921,charlie
2009-12-04_02b03e1f_small.jpg,C:\Users\terry\Documents\Work\Log,.jpg,1175,1732981150,terry
Package_for_KB970238_client_1~31bf3856ad364e35~x86~~6.0.1.0.cat,C:\Windows\servicing\Packages,.cat,7883,1713661213,terry
bookmarks-2009-12-07.json,C:\Users\terry\AppData\Roaming\Mozilla\Firefox\Profiles\fdzuqcja.default\bookmarkbackups,.json,4143,1733251160,terry
KB951376-v2.log,C:\Windows,.log,8577,1730772226,charlie
cfgexlog.cfg,C:\Users\All Users\AppData\Roaming\avg9\Log,.cfg,252861,1733251506,pat
favicon[1].ico,C:\Users\Jo\AppData\Local\Microsoft\Windows\INetCache\MSB10OYU,.ico,25214,1732160436,jo
search_{0633EE93-D776-472f-A0FF-E1416B8B2E3A}.ico,C:\Users\Administrator\AppData\Local\Microsoft\Internet Explorer\Services,.ico,1150,1730853771,pat
u7iavi2535u25347c.bin,C:\Users\All Users\AppData\Roaming\avg9\update\download,.bin,12454,1732568809,jo
test_doctest.py,C:\Program Files\Microsoft Office\root\Office16\Basis\program\python-core-2.6.1\lib\test,.py,76240,1713498848,charlie
cryptocme2.sig,C:\Program Files\Adobe\Reader 9.0\Reader,.sig,1400,1668297738,terry
FirstStartWizard.xcs,C:\Program Files\Microsoft Office\root\Office16\Basis\share\registry\schema\org\openoffice,.xcs,1294,1709692354,jo
CMD.EXE-89305D47.pf,C:\Windows\Prefetch,.pf,5940,1733601033,terry
pickupCACT3FNC.asmx,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\WXQBSVQX,.asmx,2181,1731445634,pat
